[0] losses: [ 1.497 -0.419 19.972 20.375 -3.78 ]
[5] losses: [-4.296 -3.288  0.728  0.731 -4.017]
[1275] losses: [ 6.801 -0.901  0.033  0.032 -4.349]
[1280] losses: [ 6.359  0.87   0.028  0.029 -4.266]
[1285] losses: [ 6.266  2.072  0.032  0.032 -5.436]
[1290] losses: [ 6.065  0.214  0.027  0.027 -4.961]
[1295] losses: [ 6.739  2.131  0.032  0.032 -3.724]
[1300] losses: [ 6.542 -0.331  0.03   0.031 -5.259]
[1305] losses: [ 6.731  2.832  0.031  0.033 -3.628]
[1310] losses: [ 6.444  1.561  0.031  0.03  -4.176]
[1315] losses: [ 6.046 -0.587  0.032  0.032 -3.99 ]
[1320] losses: [ 5.008 -4.094  0.022  0.023 -4.74 ]
[1325] losses: [ 6.555 -0.459  0.028  0.028 -4.311]
[1330] losses: [ 6.567 -3.287  0.029  0.028 -5.333]
[1335] losses: [ 6.495 -5.091  0.03   0.03  -3.926]
[1340] losses: [ 6.389  0.642  0.028  0.029 -4.79 ]
[1345] losses: [ 6.556  0.235  0.03   0.032 -4.47 ]
[1350] losses: [ 6.708 -2.184  0.032  0.033 -3.974]
[1355] losses: [ 6.054  3.972  0.03   0.03  -4.741]
[1360] losses: [ 6.29  -0.782  0.034  0.035 -4.935]
[1365] losses: [ 6.637 -1.039  0.031  0.03  -4.744]
[1370] losses: [ 6.462 -4.077  0.029  0.029 -6.107]
[1375] losses: [ 6.404  2.062  0.032  0.033 -4.429]
[1380] losses: [ 6.421 -3.838  0.028  0.03  -4.322]
[1385] losses: [ 6.55   3.486  0.033  0.033 -4.327]
[1390] losses: [ 6.568 -2.238  0.035  0.036 -3.642]
[1395] losses: [ 6.236 -1.427  0.032  0.032 -3.981]
[1400] losses: [ 6.798 -2.513  0.03   0.03  -3.908]
[1405] losses: [ 6.224  2.556  0.031  0.033 -4.895]
[1410] losses: [ 6.391  4.276  0.034  0.035 -3.603]
[1415] losses: [ 6.521  4.347  0.035  0.035 -3.506]
[1420] losses: [ 6.574  0.51   0.035  0.034 -3.369]
[1425] losses: [ 6.768 -2.032  0.032  0.033 -5.514]
[1430] losses: [ 4.979 -5.486  0.024  0.026 -4.181]
[1435] losses: [ 6.206 -0.556  0.032  0.034 -3.37 ]
[1440] losses: [ 6.116  4.088  0.034  0.036 -3.547]
[1445] losses: [ 6.008  0.013  0.029  0.03  -4.888]
[1450] losses: [ 6.241 -0.437  0.029  0.03  -5.362]
